delta_x,delta_v
11.060518,-0.14758861
9.274529,-3.5091887
8.386781,1.8693714
8.617752,-1.4922286
9.7469635,3.8863313
11.994895,0.5247314
10.881227,-2.8368685
10.665798,2.5416913
11.569089,-0.8199086
10.21231,-1.9214377
10.912312,3.4571223
12.731034,0.0955223
11.188157,-3.2660778
10.543519,2.1124823
11.017601,-1.2491177
9.231612,-2.3506467
9.502406,3.027913
10.891919,-0.3336868
8.919832,-3.6952868
7.8459854,1.6832732
7.8908587,-1.6783268
8.833972,3.7002332
10.895805,0.3386332
9.596038,-3.0229669
33.824177,-1.5547893
30.630985,-4.9163895
25.177727,-6.0179186
18.983885,-6.3788676
15.226459,-1.0003074
12.58775,-4.3619075
10.847283,1.0166526
10.225535,-2.3449476
10.502028,3.0336125
11.897241,-0.32798746
9.930853,-3.6895874
8.862706,1.6889725
8.913279,-1.6726274
9.862091,3.7059326
11.929624,0.34433252
10.635556,-3.0172675
10.239729,2.3612926
10.962621,-1.0003074
9.425443,-2.1018364
9.945046,3.2767234
11.583369,-0.08487656
9.860093,-3.4464765
9.035056,1.9320835
9.32874,-1.4295166
10.520663,3.9490435
12.831306,0.5874434
11.78035,-2.7741566
8.469322,-3.8756857
7.215077,1.5028744
7.079551,-1.8587257
32.11469,-1.0930694
29.38322,-4.4546695
24.39168,-5.5561986
18.65956,-5.9171476
12.684766,-6.0354233
9.270782,-0.6568634
11.235359,4.721697
14.318656,1.3600966
14.040353,-2.0015035
11.501978,-3.1030324
11.020386,2.2755275
11.657513,-1.0860724
10.03457,-2.1876016
10.468409,3.1909585
12.020967,-0.17064156
10.2119255,-3.5322416
9.301124,1.8463185
9.509042,-1.5152816
10.6152,3.8632784
12.840079,0.50167847
11.703358,-2.8599215
8.306565,-3.9614506
6.966554,1.4171094
6.7452636,-1.9444907
7.422213,3.4340694
9.217882,0.07246936
7.651952,-3.2891307
6.984261,2.0894294
7.4352903,-1.2721707
8.784559,4.1063895
28.431879,-1.5654421
25.228037,-4.927042
19.764124,-6.028571
13.55963,-6.38952
9.791551,-1.0109602
9.639584,0.75148636
8.75267,-2.6101136
8.763996,2.7684464
9.894043,-0.59315366
8.764018,-1.6946827
9.690775,3.6838772
11.736253,0.32227725
10.42013,-3.0393229
10.002247,2.3392372
10.703084,-1.0223627
9.14385,-2.1238918
9.641398,3.2546682
11.257667,-0.106931835
9.512335,-3.4685318
8.665243,1.9100282
